permitnum,description,issuedate,applieddate,statuscurrent,jurisdiction,statuscurrentmapped,statusdate,totalsqft,projectcost,contractorcompanyname,contractortrade,contractorzip,ownerzip,projectcost_6_2026,originalcity_validated,originalzip_validated
21-06370593,SOLAR PV SYSTEM,2021-07-08,2021-06-21,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2021-10-06,0,10149,BLUE RAVEN SOLAR,UNLICENSED CONTRACTOR,84097,27519,12474.53,Cary,27519
21-06380742,SOLAR PV SYSTEM,2021-08-11,2021-06-21,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2021-09-09,0,46063,YES! SOLAR SOLUTIONS,GENERAL CONTRACTOR,27513,27518,56617.8,Cary,27518
21-06390895,SOLAR PANELS,2021-09-01,2021-06-21,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2021-09-02,540,22320,BLACK CAT SOLAR INC,GENERAL CONTRACTOR,28115,27519,27434.37,Cary,27519
21-06401078,SOLAR PV SYSTEM,2021-07-21,2021-06-21,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2021-07-23,0,26770,NC SOLAR NOW INC,GENERAL CONTRACTOR,27604,27513,32904.04,Cary,27513
21-06411471,SOLAR PV SYSTEM,2021-07-21,2021-06-22,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2021-08-24,0,5400,"SIGORA SOLAR, LLC",GENERAL CONTRACTOR,22901,27539,6637.35,Apex,27539
21-06421012,SOLAR PV SYSTEM,2021-07-16,2021-06-24,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2021-07-21,0,14830,NC SOLAR NOW INC,GENERAL CONTRACTOR,27604,27513,18228.12,Cary,27513
21-06431211,SOLAR PV SYSTEM,2021-07-12,2021-06-25,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2021-07-20,0,10103,NC SOLAR NOW INC,GENERAL CONTRACTOR,27604,27519,12417.99,Cary,27519
21-06440097,SOLAR PANELS ON RESIDENTIAL ROOF,2021-07-14,2021-06-29,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2021-08-10,0,23812,8M SOLAR,GENERAL CONTRACTOR,27587,27519,29268.24,Cary,27519
21-06450313,SOLAR PV SYSTEM,2021-07-16,2021-06-29,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2021-10-13,0,23812,8M SOLAR,GENERAL CONTRACTOR,27587,27513,29268.24,Cary,27513
21-06461797,SOLAR PV SYSTEM,2022-01-11,2021-06-29,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2022-01-12,0,13320,"TITAN SOLAR POWER NC, INC",GENERAL CONTRACTOR,85210,27519,16372.12,Cary,27519
21-06470147,SOLAR PV SYSTEM,2021-07-20,2021-07-01,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2021-07-03,0,20349,8M SOLAR,GENERAL CONTRACTOR,27587,27519,24891.99,Cary,27519
21-06480528,RESIDENTIAL SOLAR PANELS ON ROOF,2021-07-07,2021-07-01,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2022-02-03,950,9280,"AVOLTA POWER, INC.",UNLICENSED CONTRACTOR,84097,27513,11351.8,Cary,27513
21-06490490,SOLAR PANELS ON RESIDENTIAL ROOF,2021-09-07,2021-07-02,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2022-11-01,0,62939,"MARC JONES CONSTRUCTION, LLC",GENERAL CONTRACTOR,70433,27519,76990.38,Cary,27519
21-06500314,SOLAR PANELS ON RESIDENTIAL ROOF,2021-08-12,2021-07-06,CERTICATE OF COMPLIANCE (CC),CC,Occupancy,2021-08-17,1034,43142,8M SOLAR,GENERAL CONTRACTOR,27587,27519,52773.62,Cary,27519
21-06510610,SOLAR PANELS,,2021-07-09,PLANS WITHDRAWN (PW),TC,Permit Cancelled,2021-10-12,0,6432,BLUE RAVEN SOLAR,UNLICENSED CONTRACTOR,84097,27519,7867.97,Cary,27519
21-06521322,SOLAR PANELS,2021-08-09,2021-07-09,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2021-08-11,0,15200,NC SOLAR NOW INC,GENERAL CONTRACTOR,27604,27513,18593.46,Cary,27513
21-06530213,SOLAR PV SYSTEM,2021-08-11,2021-07-12,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2021-08-17,0,22732,8M SOLAR,GENERAL CONTRACTOR,27511,27513,27807.01,Cary,27513
21-06540877,SOLAR PANELS,2021-08-16,2021-07-15,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2021-12-09,0,8104,ION DEVELOPER LLC,UNLICENSED CONTRACTOR,84604,27560,9913.25,Morrisville,27560
21-06550543,SOLAR PV SYSTEM,2021-08-02,2021-07-19,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2022-05-27,0,7443,BLUE RAVEN SOLAR,UNLICENSED CONTRACTOR,84097,27519,9104.68,Cary,27519
21-06560544,SOLAR PV SYSTEM,2021-08-02,2021-07-19,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2021-09-13,0,2706,BLUE RAVEN SOLAR,UNLICENSED CONTRACTOR,84097,27513,3310.13,Cary,27513
21-06570615,SOLAR PV SYSTEM,2021-08-02,2021-07-19,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2021-10-06,0,4059,BLUE RAVEN SOLAR,UNLICENSED CONTRACTOR,84097,27513,4965.19,Cary,27513
21-06581163,SOLAR PANELS ON RESIDENTIAL ROOF,2021-07-27,2021-07-19,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2021-07-30,0,26128,NC SOLAR NOW INC,GENERAL CONTRACTOR,27604,27519,31961.18,Cary,27519
21-06591671,SOLAR PV SYSTEM,2022-01-07,2021-07-20,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2022-02-16,0,37259,"TESLA ENERGY OPERATIONS, INC.",GENERAL CONTRACTOR,94538,27513,45577.22,Cary,27513
21-06600529,SOLAR PANELS ON RESIDENTIAL ROOF,2021-12-10,2021-07-27,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2021-12-15,309,20553,"AVOLTA POWER, INC.",UNLICENSED CONTRACTOR,84097,27511,25141.54,Cary,27511
21-06611430,RESIDENTIAL SOLAR PANELS ON ROOF,2021-09-27,2021-07-27,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2021-10-04,0,17916,PURE ENERGY LLC,GENERAL CONTRACTOR,85284,27519,21915.82,Cary,27519
